Player,player_url,player_RND,player_rating,player_ACS,player_KAST,player_KD_ratio,player_ADR,player_KPR,player_APR,player_FKPR,player_FDPR,player_HS,player_CL_percent,player_CL,player_top_3_agents_1_image,player_top_3_agents_2_image,player_top_3_agents_3_image,Rank,Gold,Silver,Bronze,S Tier,Earnings
yay,https://www.vlr.gg/player/881/yay,492,1.26,254.6,73%,1.5,159.8,0.93,0.09,0.2,0.08,26%,15%,9/59,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/jett.png,,36,4,5,2,0,"$44,600"
kiNgg,https://www.vlr.gg/player/8549/kingg,179,1.26,260.0,77%,1.36,160.9,0.89,0.3,0.23,0.12,23%,11%,2/18,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,210,8,7,0,0,"$12,670"
Laz,https://www.vlr.gg/player/999/laz,148,1.23,245.0,71%,1.31,156.1,0.86,0.21,0.15,0.09,28%,20%,6/30,https://www.vlr.gg/img/vlr/game/agents/kayo.png,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,46,11,5,1,0,"$38,480"
pANcada,https://www.vlr.gg/player/683/pancada,366,1.21,210.5,78%,1.25,137.5,0.76,0.39,0.08,0.04,34%,15%,6/41,https://www.vlr.gg/img/vlr/game/agents/omen.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/astra.png,254,10,1,2,0,"$10,650"
Derke,https://www.vlr.gg/player/5022/derke,319,1.2,247.9,70%,1.39,166.2,0.92,0.13,0.17,0.15,34%,21%,5/24,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/jett.png,,34,1,3,3,0,"$46,685"
Shao,https://www.vlr.gg/player/384/shao,357,1.15,194.5,80%,1.12,133.7,0.68,0.43,0.04,0.04,30%,16%,9/56,https://www.vlr.gg/img/vlr/game/agents/sage.png,https://www.vlr.gg/img/vlr/game/agents/fade.png,https://www.vlr.gg/img/vlr/game/agents/sova.png,92,9,6,0,0,"$21,968"
Cryocells,https://www.vlr.gg/player/4147/cryocells,285,1.15,232.2,71%,1.27,143.4,0.85,0.13,0.18,0.13,24%,19%,8/42,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/jett.png,,229,10,2,3,0,"$11,700"
Sacy,https://www.vlr.gg/player/659/sacy,366,1.14,194.0,77%,1.14,127.5,0.68,0.41,0.07,0.05,25%,12%,5/42,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/fade.png,,80,4,1,1,0,"$26,607"
MaKo,https://www.vlr.gg/player/4462/mako,416,1.13,207.8,78%,1.14,135.9,0.72,0.43,0.07,0.07,29%,14%,9/63,https://www.vlr.gg/img/vlr/game/agents/astra.png,https://www.vlr.gg/img/vlr/game/agents/omen.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,121,4,2,1,0,"$19,003"
Less,https://www.vlr.gg/player/8447/less,366,1.13,219.9,71%,1.31,142.6,0.81,0.17,0.1,0.1,25%,21%,7/34,https://www.vlr.gg/img/vlr/game/agents/killjoy.png,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/cypher.png,497,3,1,1,0,"$5,543"
keznit,https://www.vlr.gg/player/2462/keznit,144,1.11,237.4,67%,1.01,151.2,0.78,0.35,0.19,0.19,27%,,0/13,https://www.vlr.gg/img/vlr/game/agents/kayo.png,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/fade.png,54,7,3,0,0,"$35,800"
SUYGETSU,https://www.vlr.gg/player/2858/suygetsu,357,1.11,209.9,74%,1.15,139.4,0.74,0.29,0.05,0.04,36%,17%,9/54,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/cypher.png,https://www.vlr.gg/img/vlr/game/agents/sage.png,66,10,2,1,0,"$29,407"
